it,loss,R,rmean,rvar,cx,cy,cp,cq
103,1.208529275339118,1.2085284974487083,0.9385280963657345,0.026985641518578803,-0.014504296672847241,-0.022910521775685994,0.006248027113036012,-0.001579724845154121
104,1.2070307321361198,1.2070298113662643,0.9423961170510781,0.026536689368840786,-0.018820066595361822,-0.021857352803073476,0.0071267000854379915,0.006076809915338457
105,1.2064881725776557,1.2064857351700686,0.9428994530113443,0.02645794374082319,-0.019789156387348687,-0.04251303498875232,0.012793171032368872,-0.008581175193719408
106,1.2054898993723362,1.205488956717799,0.9396944263954686,0.02617267316815466,-0.01960575741494548,-0.019917119530084675,0.012662846158408557,-0.00026261318809033175
107,1.2047460098222336,1.204744294455959,0.9432988674149583,0.02630818572883598,-0.011725731434873335,-0.03913246507360394,0.005343773457200278,0.004096768960515826
108,1.2032128829657704,1.2032108959290424,0.9396136815753171,0.025976108600890845,-0.015119195071033951,-0.04026019070385181,0.003949494441874175,0.010988942192221494
109,1.2035421850776329,1.203541228480573,0.944796531612077,0.02554168219829162,-0.01678948795766663,-0.02245939713174411,0.0012278630587530775,0.012943899759538122
110,1.202209557254443,1.2022084172142,0.9403752174195424,0.026059506458599523,-0.006895141181283331,-0.02622433293149182,-0.0023664515801476447,0.019948132794803817
111,1.2018230251737962,1.2018221274328431,0.9381110422258141,0.026379918802524608,-0.01889657448583019,-0.020383070431585295,-0.0016475754252210184,0.011009187337451735
112,1.1995654389484163,1.1995642267110083,0.9439104780826607,0.026067630913390757,-0.013103036917685282,-0.03182690591989895,0.004601575761674475,0.002263981011738226
113,1.1976026105074011,1.1976022317524755,0.9376248806707241,0.026080955975464823,-0.009538116696810978,-0.01671551041060837,0.002619331097504656,-0.0004361306382929347
114,1.1991825676838448,1.1991822837061434,0.9399754416939247,0.025796460362608204,-0.0033652604874298882,-0.01548088337917926,0.0025848391291360463,-0.004996690435546144
