it,loss,R,rmean,rvar,cx,cy
116,0.7642102106963803,0.7641973634736082,0.5017360768407365,0.04866571243955096,0.11328772300389604,0.0035620715954452985
117,0.763160151902552,0.7631481588519696,0.5031823081735207,0.04884710944519164,0.10935146837871555,0.005905379736702603
118,0.7639997248804815,0.7639876753287043,0.4993910591263837,0.048689157642908404,0.1097683986011908,-8.476456931249191e-05
119,0.7630554948016577,0.7630447524357069,0.498700595183422,0.048566466720437386,0.10358866294049686,0.0033619702826895577
120,0.7624879398141855,0.7624773287628942,0.5002932959426932,0.048724879478378336,0.10300055271157482,0.0012146880183128593
121,0.7650306555740221,0.7650176441556082,0.5029409023637283,0.04885407369945117,0.11359176970658824,-0.010385464084473115
122,0.76253185753884,0.7625199060979164,0.5013650617971007,0.048711968240836324,0.10833654911150929,-0.014634202553964424
123,0.7645238977875876,0.7645118973876662,0.5007199373951217,0.04858814382313274,0.10950912067451342,-0.002771492115237562
124,0.7634666390960871,0.7634567269465503,0.4992475118821391,0.04850763755208514,0.09938848091356255,0.00579703639584142
125,0.7620597212046999,0.7620500236252644,0.5000797792225633,0.048580083531038966,0.09813989474669374,0.008103627806106026
126,0.7619476994831291,0.7619378298367615,0.49962175456475916,0.04854280321868848,0.09926723210554066,0.003898313737985382
127,0.7644670957558949,0.7644571465692314,0.5000204111314356,0.04868182892416025,0.09958063614985527,0.0056943920804445915
128,0.7597192742296692,0.7597093678967982,0.4991819409204559,0.048560871538018635,0.09937604071950952,0.005503232167143281
129,0.7557843896017983,0.7557749909288436,0.49733250137189,0.04852410640953347,0.096865752673697,0.0039060285061144166
130,0.7550305793691121,0.7550200181885087,0.5013786721175987,0.04862849761396683,0.10273238062114676,0.002607793331002421
131,0.756788802001449,0.7567779058727573,0.500107615979069,0.04884005571193586,0.10369395728415008,-0.011968784339510532
132,0.7595997043718311,0.7595861175684304,0.5022404812958918,0.04902728918210277,0.11619830028493223,-0.009182227172556201
133,0.7635307031872605,0.7635150394221903,0.5024601018460878,0.04889458240025739,0.12425609024767947,-0.01495786684658966
134,0.7616745107813228,0.7616585239988775,0.500474994724949,0.04880974932289631,0.12596914377402665,-0.010867644951082316
135,0.759454101068352,0.7594397880612328,0.500562366004759,0.04854749712340814,0.11957525955934864,0.003783495679476089
